ma,target_vol,sharpe
6,,0.7221899291145907
6,0.08,0.6976859195924859
6,0.1,0.7316534513281026
6,0.12,0.753063756538199
6,0.15,0.7610210647590421
6,0.2,0.7588010426431535
8,,0.7117368821858644
8,0.08,0.7095851952149062
8,0.1,0.7392961642981839
8,0.12,0.7603523966070079
8,0.15,0.7610889160240871
8,0.2,0.7523877938517272
9,,0.7327087936409414
9,0.08,0.7141423035100252
9,0.1,0.7467293424914784
9,0.12,0.7681387501774479
9,0.15,0.770610765169247
9,0.2,0.763461029830478
10,,0.7086499366676234
10,0.08,0.69620606361825
10,0.1,0.7295059762512595
10,0.12,0.7507100586326957
10,0.15,0.7528149376473959
10,0.2,0.7443095016373903
11,,0.7122421288355791
11,0.08,0.7023225143190939
11,0.1,0.7331272641424298
11,0.12,0.7518128077548807
11,0.15,0.755252568659529
11,0.2,0.7481626648247347
12,,0.6901547550896336
12,0.08,0.6810173837135556
12,0.1,0.7079181449274147
12,0.12,0.7262224082730738
12,0.15,0.7319803862518525
12,0.2,0.7257118199963329
14,,0.6614181782541874
14,0.08,0.6413451473421312
14,0.1,0.6691702702487754
14,0.12,0.6867772912516418
14,0.15,0.6917377164498371
14,0.2,0.6852444040375469
16,,0.6129896638819565
16,0.08,0.5858666560782997
16,0.1,0.6133153715160068
16,0.12,0.6291141410812293
16,0.15,0.6327093171440177
16,0.2,0.6252033969319123
20,,0.5824845386356515
20,0.08,0.5582710150686307
20,0.1,0.5842046984446984
20,0.12,0.5997397334730847
20,0.15,0.6013168348802185
20,0.2,0.5914273724025844
