signal,horizon,mean,ann,t,n_days
illiq,5,0.0013585819175383185,0.06847252864393125,2.923214511934365,1235
amihud,21,0.005763530919758572,0.06916237103710286,2.3951174923926843,1218
squeeze,5,0.001857030160335283,0.09359432008089826,2.16601347737882,817
amihud,5,0.0012795070505084907,0.06448715534562793,2.1132380607181807,1234
illiq,21,0.003927117785580595,0.04712541342696715,2.04190645498837,1219
volsurge,21,-0.0016253797729278436,-0.019504557275134123,-1.8159094880791855,1219
lowvol,21,-0.008101358730998117,-0.0972163047719774,-1.7100231301041453,1178
rev5,21,0.0019646490146805,0.023575788176166,1.6256611878380027,1234
rsi2,21,0.0025755903456366135,0.03090708414763936,1.4953478084319731,1234
mom_1m,5,-0.0013465781417112967,-0.06786753834224936,-1.4861531232651695,1233
gap,21,0.0013471496236477866,0.016165795483773438,1.474037663781199,1235
rev10,21,0.00228556713898039,0.027426805667764682,1.240908923147643,1229
intraday_20,5,-0.000974615713217253,-0.04912063194614955,-1.2137812409094701,1235
gap,5,0.0005553033678111617,0.02798728973768255,1.197591167947877,1251
lowvol,5,-0.0014153307516866806,-0.07133266988500869,-1.1505224876334958,1194
squeeze,21,0.0032824679514340243,0.03938961541720829,1.1199117622088322,803
hi52,5,-0.0018029829402323601,-0.09087034018771095,-1.0600656515138465,764
rev20,21,0.0023669026173752197,0.028402831408502638,1.0357833512507513,1219
overnight_20,5,-0.0006430586939280172,-0.03241015817397207,-0.9594304496303967,1234
rev20,5,0.0006168916081826268,0.03109133705240439,0.9132541728714098,1235
rev10,5,0.0003905954407534387,0.01968601021397331,0.65346968909855,1245
intraday_20,21,-0.0018286281336324347,-0.021943537603589216,-0.6388573141949654,1219
hi52,21,-0.0033782550803912086,-0.04053906096469451,-0.5365087828056551,761
rev5,5,0.00024094682561351358,0.012143720010921084,0.5043605992499773,1250
rsi2,5,0.00024846342323327464,0.012522556530957041,0.431399709480622,1250
mom_12_1,21,0.001889432165806048,0.02267318598967258,0.33052272471948285,986
mom_1m,21,-0.000861035366486184,-0.010332424397834208,-0.28633277830687187,1217
overnight_20,21,0.0005222806690570414,0.006267368028684496,0.22934790125450472,1218
mom_12_1,5,0.0003211645825414565,0.01618669496008941,0.22017123575551598,1002
volsurge,5,2.5934191937098037e-05,0.001307083273629741,0.08122660847226955,1235
